iata,city,secondary
XDU,Hervey,QC - Canada
YOJ,High Level,AB - Canada
YHI,Holman,NT - Canada
YHO,Hopedale,NL - Canada
ZHO,Houston,BC - Canada
YHB,Hudson Bay,SK - Canada
YGT,Igloolik,NU - Canada
YGR,Iles De La Madeleine,QC - Canada
ILF,Ilford,MB - Canada
XIB,Ingersoll,ON - Canada
YPH,Inukjuak,QC - Canada
YEV,Inuvik,NT - Canada
YFB,Iqaluit,NU - Canada
YIV,Island Lake,NA - Canada
YIK,Ivujivik,QC - Canada
XDH,Jasper,AB - Canada
XJL,Joliette,QC - Canada
XJQ,Jonquiere,QC - Canada
YKA,Kamloops,BC - Canada
XGR,Kangiqsualujjuaq,QC - Canada
YWB,Kangiqsujuaq,QC - Canada
YKG,Kangirsuk,QC - Canada
YYU,Kapuskasing,ON - Canada
XKS,Kasabonika,ON - Canada
ZKE,Kaschechewan,ON - Canada
KEW,Keewaywin,ON - Canada
ZKG,Kegaska,QC - Canada
YLW,Kelowna,BC - Canada
YQK,Kenora,ON - Canada
YLC,Kimmirut,NU - Canada
KIF,Kingfisher Lake,ON - Canada
XEG,Kingston,ON - Canada
YGK,Kingston,ON - Canada
YKF,Kitchener,ON - Canada
YKT,Klemtu,BC - Canada
YBB,Kugaaruk,NU - Canada
YCO,Kugluktuk/Coppermine,NU - Canada
YVP,Kuujjuaq,QC - Canada
YGW,Kuujjuarapik,QC - Canada
YGL,La Grande,QC - Canada
YVC,La Ronge,SK - Canada
ZLT,La Tabatiere,QC - Canada
YLQ,La Tuque,QC - Canada
XLB,Lac Brochet,MB - Canada
XEE,Lac Edouard,QC - Canada
XEH,Ladysmith,BC - Canada
XEJ,Langford,BC - Canada
YLH,Lansdowne House,ON - Canada
YLR,Leaf Rapids,MB - Canada
YQL,Lethbridge,AB - Canada
YLL,Lloydminister,AB - Canada
XDQ,London,ON - Canada
YXU,London,ON - Canada
YSG,Lutselke/Snowdrift,NT - Canada
YMH,Mary's Harbour,NL - Canada
XID,Maxville,ON - Canada
YXH,Medicine Hat,AB - Canada
XEK,Melville,SK - Canada
XEY,Miramichi,NB - Canada
XDP,Moncton,NB - Canada
YQM,Moncton,NB - Canada
YYY,Mont Joli,QC - Canada
XAX,Montreal,QC - Canada
YMY,Montreal,QC - Canada
XLM,Montreal,QC - Canada
YMQ,Montreal,QC - Canada
YUL,Montreal,QC - Canada
YMX,Montreal,QC - Canada
YMO,Moosonee,ON - Canada
MSA,Muskrat Dam,ON - Canada
YDP,Nain,NL - Canada
YQN,Nakina,ON - Canada
ZNA,Nanaimo,BC - Canada
YCD,Nanaimo,BC - Canada
YSR,Nanisivik,NU - Canada
XIF,Napanee,ON - Canada
YNA,Natashquan,QC - Canada
YNS,Nemiscau,QC - Canada
XEL,New Carlisle,QC - Canada
XEM,New Richmond,QC - Canada
XLV,Niagara Falls,ON - Canada
YUY,Noranda/Rouyn,QC - Canada
YVQ,Norman Wells,NT - Canada
YYB,North Bay,ON - Canada
YNO,North Spirit Lake,ON - Canada
YNE,Norway House,MB - Canada
YOG,Ogoki,ON - Canada
YOC,Old Crow,YT - Canada
YBS,Opapamiska Lake,ON - Canada
YOO,Oshawa,ON - Canada
XDS,Ottawa,ON - Canada
YOW,Ottawa,ON - Canada
YOH,Oxford House,MB - Canada
YIF,Pakuashipi,QC - Canada
YXP,Pangnirtung,NU - Canada
XFE,Parent,QC - Canada
XPB,Parksville,BC - Canada
YPC,Paulatuk,NT - Canada
YPE,Peace River,AB - Canada
YPO,Peawanuck,ON - Canada
YTA,Pembroke,ON - Canada
YYF,Penticton,BC - Canada
XFG,Perce,QC - Canada
YPL,Pickle Lake,ON - Canada
YPM,Pikangikum,ON - Canada
XPX,Pointe-aux-Trembles,QC - Canada
YNL,Points North Landing,SK - Canada
YIO,Pond Inlet,NU - Canada
YHP,Poplar Hill,ON - Canada
YPB,Port Alberni,BC - Canada
YZT,Port Hardy,BC - Canada
YHA,Port Hope Simpson,NL - Canada
YPN,Port Meiner,QC - Canada
YSO,Postville,NL - Canada
YPX,Povungnituk,QC - Canada
YPW,Powell River,BC - Canada
XII,Prescott,ON - Canada
YPA,Prince Albert,SK - Canada
XDV,Prince George,BC - Canada
YXS,Prince George,BC - Canada
XDW,Prince Rupert,BC - Canada
YPR,Prince Rupert,BC - Canada
XPK,Pukatawagan,MB - Canada
YVM,Qikiqtarjuaq,NU - Canada
XQU,Qualicum,BC - Canada
YQC,Quaqtaq,QC - Canada
YQB,Quebec,QC - Canada
YFZ,Quebec,QC - Canada
XLK,Quebec,QC - Canada
XLJ,Quebec,QC - Canada
XFY,Quebec,QC - Canada
YQZ,Quesnel,BC - Canada
YRA,Rae Lakes,NT - Canada
YOP,Rainbow Lake,AB - Canada
YRT,Rankin Inlet,NU - Canada
YRL,Red Lake,ON - Canada
YRS,Red Sucker Lake,MB - Canada
YQR,Regina,SK - Canada
YUT,Repulse Bay,NU - Canada
YRB,Resolute,NU - Canada
YRG,Rigolet,NL - Canada
YXK,Rimouski,QC - Canada
XRP,Riviere-a-Pierre,QC - Canada
YRJ,Roberval,QC - Canada
ZRJ,Round Lake,ON - Canada
YUY,Rouyn/Noranda,QC - Canada
ZPB,Sachigo Lake,ON - Canada
YSY,Sachs Harbour,NT - Canada
XKV,Sackville,NB - Canada
XIM,Saint Hyacinthe,QC - Canada
YSJ,Saint John,NB - Canada
YYT,Saint Johns,NL - Canada
YSL,Saint Leonard,NB - Canada
YZG,Salluit,QC - Canada
ZSJ,Sandy Lake,ON - Canada
YSK,Sanikiluaq,NU - Canada
XDX,Sarnia,ON - Canada
YZR,Sarnia,ON - Canada
YXE,Saskatoon,SK - Canada
YAM,Sault Ste-Marie,ON - Canada
YKL,Schefferville,QC - Canada
XFK,Senneterre,QC - Canada
YZV,Sept-Iles,QC - Canada
ZTM,Shamattawa,MB - Canada
XFL,Shawinigan,QC - Canada
XFM,Shawnigan,BC - Canada
YXL,Sioux Lookout,ON - Canada
YSH,Smith Falls,ON - Canada
YYD,Smithers,BC - Canada
YFJ,Snare Lake,NT - Canada
XSI,South Indian Lake,MB - Canada
YAY,St Anthony,NL - Canada
YCM,St Catharines,ON - Canada
XIO,St Marys,ON - Canada
YST,Ste Therese Point,MB - Canada
YJT,Stephenville,NL - Canada
YSF,Stony Rapids,SK - Canada
XTY,Strathroy,ON - Canada
XDY,Sudbury,ON - Canada
YSB,Sudbury,ON - Canada
SUR,Summer Beaver,ON - Canada
ZJN,Swan River,MB - Canada
YQY,Sydney,NS - Canada
XTL,Tadoule Lake,MB - Canada
YYH,Taloyoak,NU - Canada
YTQ,Tasiujuaq,QC - Canada
YXT,Terrace,BC - Canada
ZTB,Tete-a-La Baleine,QC - Canada
XDZ,The Pas,MB - Canada
YQD,The Pas,MB - Canada
YTD,Thicket Portage,MB - Canada
YTH,Thompson,MB - Canada
YQT,Thunder Bay,ON - Canada
YTS,Timmins,ON - Canada
YAZ,Tofino,BC - Canada
YBZ,Toronto,ON - Canada
XLQ,Toronto,ON - Canada
YTZ,Toronto,ON - Canada
YYZ,Toronto,ON - Canada
XLZ,Truro,NS - Canada
YUB,Tuktoyaktuk,NT - Canada
ZFN,Tulita/Fort Norman,NT - Canada
YUD,Umiujag,QC - Canada
YBE,Uranium City,SK - Canada
YVO,Val-d'Or,QC - Canada
CXH,Vancouver,BC - Canada
XEA,Vancouver,BC - Canada
YVR,Vancouver,BC - Canada
YWH,Victoria,BC - Canada
YYJ,Victoria,BC - Canada
YWK,Wabush,NL - Canada
YKQ,Waskaganish,QC - Canada
XWA,Watford,ON - Canada
YWP,Webequie,ON - Canada
YNC,Wemindji,QC - Canada
XFQ,Weymont,QC - Canada
YLE,Wha Ti/Lac La Martre,NT - Canada
YXN,Whale Cove,NU - Canada
YWR,White River,ON - Canada
YXY,Whitehorse,YT - Canada
YWM,Williams Harbour,NL - Canada
YWL,Williams Lake,BC - Canada
XEC,Windsor,ON - Canada
YQG,Windsor,ON - Canada
XEF,Winnipeg,MB - Canada
YWG,Winnipeg,MB - Canada
ZWL,Wollaston Lake,SK - Canada
XIP,Woodstock,ON - Canada
WNN,Wunnummin Lake,ON - Canada
XWY,Wyoming,ON - Canada
YQI,Yarmouth,NS - Canada
YZF,Yellowknife,NT - Canada
ZAC,York Landing,MB - Canada
SPC,Santa Cruz De La Palma,Spain and Canary Islands - La Palma
TFS,Tenerife,Spain and the Canary Islands - Sur Reina Sofia
TFN,Tenerife,Spain and Canary Islands - Norte Los Rodeos
EPS,El Portillo/Samana,Dominician Republic - El Portillo
LWK,Shetland Islands,United Kingdom - Lerwick/Tingwall
QQP,London-Paddington,United Kingdom - Rail service
SDQ,Santo Domingo,Dominican Republic - Las Americas
GLA,Glasgow,United Kingdom - Glasgow International
BEO,Newcastle,New South Wales Australia - Belmont
KHI,Karachi,Pakistan - Quaid-E-Azam International
CNF,Belo Horizonte,Brazil - Tancredo Neves Intl.
EZE,Buenos Aires,Argentina - Ministro Pistarini
CJU,Jeju,South Korea - Jeju Airport metro area
TGD,Podgoriea,Serbia and Montenegro - Golubovci
SVD,St Vincent,Saint Vincent and the Grenadines
ZDH,Basel/Mulhouse Railway Station,Switzerland
GDT,Grand Turk Island,Turks and Caicos Islands
SYQ,San Jose,Costa Rica - Tobias Bolanos Int'l
HEX,Santo Domingo,Dominican Republic - Herrera
LSI,Shetland Islands,United Kingdom - Sumburgh
VDE,Valverde,Spain and Canary Islands - Hierro
OTP,Bucharest,Romania - Otopeni International
ISC,Isles of Scilly,United Kingdom - St Marys
JON,Johnston Island,US Minor Outlying Islands
XYD,Lyon,France - Lyon Part-Dieu Rail service
EOH,Medellin,Colombia - Enrique Olaya Herrera
ICN,Seoul,South Korea - Incheon International
ANU,V.C. Bird International,Antigua & Barbuda
BFS,Belfast,Northern Ireland United Kingdom
BEG,Belgrade,Serbia and Montenegro - Beograd
CIW,Canouan,Saint Vincent and the Grenadines
GZA,Gaza City,Occupied Palestinian Territory
LYR,Longyearbyen,Svalbard & Jan Mayen Island
FCO,Rome,Italy - Leonardo Da Vinci/Fiumicino
AMM,Amman,Jordan - Queen Alia International
FUT,Futuna Island,Wallis and Futuna Islands
TSO,Isles of Scilly,United Kingdom - Tresco
MDY,Midway Island,US Minor Outlying Islands
PMI,Palma Mallorca,Spain and Canary Islands
PLS,Providenciales,Turks and Caicos Islands
GMP,Seoul,South Korea - Gimpo International
WLS,Wallis Island,Wallis and Futuna Islands
AEP,Buenos Aires,Argentina - Jorge Newbery
CEB,Cebu,Philippines - Matan International
MDE,Medellin,Colombia - Jose Marie Cordova
RGL,Rio Gallegos,Argentina - Internacional
SJO,San Jose,Costa Rica - Juan Santa Maria
CCK,Cocos Islands,Cocos Keeling) Islands
MHP,Minsk,Belarus - Minsk International 1
MSQ,Minsk,Belarus - Minsk International 2
NCA,North Caicos,Turks and Caicos Islands
XSC,South Caicos,Turks and Caicos Islands
STT,St. Thomas Island,U.S. Virgin Islands
DRW,Darwin,Northern Territory Australia
DAC,Dhaka,Bangledesh - Zia International
LON,London,United Kingdom - All airports
NTL,Newcastle,New South Wales Australia
PRQ,Pres. Roque Saenz Pena,CH Argentina
STX,St. Croix Island,U.S. Virgin Islands
CGY,Cagayan De Oro,Philippines - Lumbia
BQH,London,United Kingdom - Biggin Hill
LCY,London,United Kingdom - London City
PBM,Paramaribo,Suriname - Zanderij Intl
RKT,Ras Al Khaimah,United Arab Emirates
VLL,Valladolid,Spain and Canary Islands
VIJ,Virgin Gorda,British Virgin Islands
ADJ,Amman,Jordan - Civil/Marka Airport
EIS,Beef Island,British Virgin Islands
BZE,Belize City,Belize - International
BVE,Brive-La-Gaillarde,France - Laroche
SJD,Cabo San Lucas,'Los Cabos' Mexico
DUS,Dusseldorf,Germany - International
FNA,Freetown,Sierra Leone - Lungi Intl
PIK,Glasgow,United Kingdom - Prestwick
NBO,Nairobi,Kenya - Jomo Kenyatta Intl
ORG,Paramaribo,Suriname - Zorg En Hoop
PER,Perth,Western Australia Australia
SXM,Saint Maarten,Netherlands Antilles
TMS,Sao Tome Is.,Sao Tome and Principe
EUX,St. Eustatius,Netherlands Antilles
VCD,Victoria River Downs,NT Australia
OVD,Asturias,Spain and Canary Islands
TKG,Bandar Lampung,Indonesia - Branti
ZDN,Brno,Czech Republic - Bus service
JCA,Cannes,France - Coisette Heliport
XCH,Christmas Island,Christmas Island
DOM,Dominica,Dominica - Melville Hall
MGL,Dusseldorf,Germany - Moenchen-Gl.
QDU,Dusseldorf,Germany - Rail service
EBJ,Esbjerg,Denmark - Esbjerg Airport
FRA,Frankfurt,Germany - International
NTE,Nantes,France - Nantes Atlantique
OAG,Orange,New South Wales Australia
PTY,Panama City,Panama - Tocumen Intl
LED,Saint Petersburg,Russia - Pulkovo
SLX,Salt Cay,Turks and Caicos Islands
CPC,San Martin De Los Andes,Argentina
GRU,Sao Paulo,Brazil - Guarulhos Intl
SYD,Sydney,New South Wales Australia
ZAZ,Zaragoza,Spain and Canary Islands
FJR,Al-Fujairah,United Arab Emirates
ANR,Antwerp,Belgium - Deurne Airport
PLU,Belo Horizonte,Brazil - Pampulha
BRN,Berne,Switzerland - Belp Airport
ZDJ,Berne,Switzerland - Rail service
ENT,Enewetak Island,Marshall Islands
HIW,Hiroshima,Japan - Hiroshima West
KIN,Kingston,Jamaica - Norman Manley
LHR,London,United Kingdom - Heathrow
STN,London,United Kingdom - Stansted
LGI,Long Island/Deadmans Cay,Bahamas
MAV,Maloelap Island,Marshall Islands
PID,Nassau,Bahamas - Paradise Island
ZAQ,Nuremberg,Germany - Rail service
RNP,Rongelap Island,Marshall Islands
STT,Saint Thomas,U.S. Virgin Islands
SEL,Seoul,South Korea - All Airports
SVQ,Sevilla,Spain and Canary Islands
SOI,South Molle Island,QL Australia
FSP,St Pierre,St Pierre and Miquelon
ZSE,St. Pierre de la Reunion,Reunion
STR,Stuttgart,Germany - Echterdingen
ZWS,Stuttgart,Germany - Rail service
VIT,Vitoria,Spain and Canary Islands
BMV,Banmethuot,Viet Nam - Phung-Doc
BGF,Banqui,Central African Republic
ZYR,Brussels,Belgium - Rail service
DIN,Dien Bien Phu,Viet Nam - Gialam
HIJ,Hiroshima,Japan - International
ILO,Iloilo,Philippines - Mandurriao
LGW,London,United Kingdom - Gatwick
MPN,Mount Pleasant,Falkland Islands
NDK,Namorik Island,Marshall Islands
NOU,Noumea,New Caledonia - Tontouta
OVB,Novosibirsk,Russia - Tolmachevo
ORB,Orebro,Sweeden - Obrebro-Bofors
CDG,Paris,France - Charles Degaulle
POP,Puerto Plata,Dominican Republic
STX,Saint Croix,U.S. Virgin Islands
SPN,Saipan,Northern Mariana Islands
OES,San Antonio Oesta,RN Argentina
STO,Stockholm,Sweden - All airports
XER,Strasbourg,France - Bus service
TPE,Taipei,Taiwan - Chiang Kai Shek
TIQ,Tinian,Northern Mariana Islands
VDC,Vitoria da Conquista,BA Brazil
AUH,Abu Dhabi,United Arab Emirates
TZA,Belize City,Belize - Municipal
BNE,Brisbane,Queensland Australia
CMN,Casablanca,Morocco - Mohamed V
JCU,Ceuta,Spain and Canary Islands
QKL,Cologne,Germany - Rail service
CGN,Cologne,Germany - Cologne/Bonn
DCF,Dominica,Dominica - Cane Field
ZBB,Esbjerg,Denmark - Rail service
GOT,Gothenburg,Sweden - Landvetter
HAM,Hamburg,Germany - Fuhisbuettel
YIV,Island Lake/Garden Hill,Canada
JAQ,Jacquinot Bay,Papua New Guinea
UIT,Jaluit Island,Marshall Islands
FKB,Karlsruhe/Badern Baden,Germany
LIK,Likiep Island,Marshall Islands
LDH,Lord Howe Island,NS Australia
MDS,Middle Caicos,Turks and Caicos
MIS,Misima Island,Papua New Guinea
NAS,Nassau,Bahamas - International
NRL,North Ronaldsay,United Kingdom
GEA,Noumea,New Caledonia - Magenta
PQC,Phu Quoc,Viet Nam - Duong Dang
XOP,Poitiers,France - Rail service
PPB,Presidente Prudente,SP Brazil
PRN,Pristina,Serbia and Montenegro
RUN,St Denis de la Reunion,Reunion
UVF,St. Lucia,St. Lucia - Hawnorra
TIH,Tikehau Atoll,French Polynesia
TOV,Tortola,British Virgin Islands
UTK,Utirik Island,Marshall Islands
AIM,Ailuk Island,Marshall Islands
ZAY,Antwerp,Belgium - Bus service
BNX,Banja Luka,Bosnia Herzegovina
BER,Berlin,Germany - All airports
BII,Bikini Atoll,Marshall Islands
DAM,Damascus,Syrian Arab Republic
GGS,Gobernador Gregores,Argentina
KAC,Kameshli,Syrian Arab Republic
LHG,Lightning Ridge,NS Australia
LNV,Lihir Island,Papua New Guinea
LDC,Lindeman Island,QL Australia
LTN,London,United Kingdom - Luton
MAS,Manus Island,Papua New Guinea
MXS,Maota Savaii Is,Western Samoa
MJB,Mejit Island,Marshall Islands
MEL,Melbourne,Victoria Australia
MOW,Moscow,Russia - all locations
OMO,Mostar,Bosnia and Herzegovina
NLK,Norfolk Island,Norfolk Island
PAC,Panama City,Panama - Paitilla
BVA,Paris,France - Beauvais-Tille
PKC,Petropaulousk-Kamchats,Russia
PZB,Pietermaritzburg,South Africa
POM,Port Moresby,Papua New Guinea
PSY,Port Stanley,Falkland Islands
PUJ,Punta Cana,Dominican Republic
REU,Reus,Spain and Canary Islands
ROP,Rota,Northern Mariana Islands
SZT,S. Cristobal del Casas,Mexico
LTT,Saint Tropez,France - La Mole
XSP,Singapore,Singapore - Seletar
TIS,Thursday Island,QL Australia
WTO,Wotho Island,Marshall Islands
WTE,Wotje Island,Marshall Islands
ZID,Aarhus,Denmark - Bus service
JHE,Angelholm/Helsingborg,Sweden
QXG,Angers,France - Rail service
AGH,Argelholm/Helsingborg,Sweden
SXF,Berlin,Germany - Schoenefeld
BON,Bonaire,Netherlands Antilles
BRQ,Brno,Czech Republic - Turany
CRL,Brussels,Belguim - Charleroi
CPI,Cape Orford,Papua New Guinea
KIV,Chisinau,Republic of Moldova
CHY,Choiseul Bay,Solomon Islands
CUR,Curacao,Netherlands Antilles
NLF,Darnley Island,QL Australia
PSA,Florence,Italy - Gal Galilei
HIN,Jinju,South Korea - Sancheon
JSM,Jose De San Martin,Argentina
YLC,Kimmirut/Lake Harbour,Canada
LRM,La Romana,Dominican Republic
UBB,Mabuiag Island,QL Australia
MHX,Manihiki Island,Cook Islands
MCV,Mcarthur River,NT Australia
MIJ,Mili Island,Marshall Islands
SVO,Moscow,Russia - Sheremetyevo
HGU,Mount Hagen,Papua New Guinea
NST,Nakhon Si Thammarat,Thailand
QJZ,Nantes,France - Rail service
PMR,Palmerston North,New Zealand
AOL,Paso de Los Libres,Argentina
PBZ,Plettenburg Bay,South Africa
PQQ,Port Macquarie,NS Australia
PUD,Puerto Deseado,SC Argentina
CGH,Sao Paulo,Brazil - Congonhas
VCP,Sao Paulo,Brazil - Viracopos
SIN,Singapore,Singapore - Changi
SOU,South Hampton,United Kingdom
SXB,Strasbourg,France - Entzheim
MCY,Sunshine Coast,QL Australia
POS,Trinidad,Trinidad and Tobago
UJE,Ujae Island,Marshall Islands
VME,Villa Mercedes,SL Argentina
WAE,Wadi Ad Dawasir,Saudi Arabia
AEO,Aioun El Atrouss,Mauritania
AAN,Al Ain,United Arab Emirates
ALP,Aleppo,Syrian Arab Republic
ARR,Alto Rio Senguerr,Argentina
AZB,Amazon Bay,Papua New Guinea
ANU,Antigua,Antigua and Barbuda
AUL,Aur Island,Marshall Islands
BRU,Brussels,Belgium - National
BBU,Bucharest,Romania - Baneasa
CVL,Cape Vogel,Papua New Guinea
DEZ,Deirezzor,Syria - Al Jafrah
FAE,Faroe Islands,Faroe Islands
FRE,Fera Island,Solomon Islands
GVR,Governador Valadares,Brazil
GCM,Grand Cayman,Cayman Islands
LML,Lae Island,Marshall Islands
XDB,Lille,France - Rail service
LZR,Lizard Island,QL Australia
MGS,Mangaia Island,Cook Islands
MDQ,Mar Del Plata,BA Argentina
BGY,Milan,Italy - Orio Al Serio
MOI,Mitiaro Island,Cook Islands
MGB,Mount Gambier,SA Australia
MYI,Murray Island,QL Australia
NPE,Napier-Hastings,New Zealand
PPW,Papa Westray,United Kingdom
PAR,Paris,France - All airports
PYE,Penrhyn Island,Cook Islands
PMQ,Perito Moreno,SC Argentina
PNP,Popondetta,Papua New Guinea
PLZ,Port Elizabeth,South Africa
PHE,Port Headland,WA Australia
PMY,Puerto Madryn,CB Argentina
PPS,Puerto Princesa,Philippines
STB,Santa Barbara,Ed Venezuela
STI,Santiago,Dominican Republic
SKB,St Kitts,St Kitts and Nevis
TCA,Tennant Creek,NT Australia
TIV,Tivat,Serbia and Montenegro
XSH,Tours,France - Rail service
ZNZ,Zanzibar,Tanzania - Kisauni
ALJ,Alexander Bay,South Africa
BWN,Bandar Seri Begawan,Brunei
BMY,Belep Island,New Caledonia
THF,Berlin,Germany - Tempelhof
BOB,Bora Bora,French Polynesia
BOH,Bournemouth,United Kingdom
PUS,Busan,South Korea - Gimhae
CAL,Campbeltown,United Kingdom
QYW,Cannes,France - Vieux Port
CHT,Chatham Island,New Zealand
DXB,Dubai,United Arab Emirates
FEN,Fernando De Noronha,Brazil
FIZ,Fitzroy Crossing,Australia
GES,General Santos,Philippines
ILP,Ile Des Pins,New Caledonia
IOM,Isle of Man,United Kingdom
XRY,Jerez De La Frontere,Spain
KXK,Komsomolsk Na Amure,Russia
KUG,Kubin Island,QL Australia
KWA,Kwajalein,Marshall Islands
LDY,Londonderry,United Kingdom
DME,Moscow,Russia - Domodedovo
MHU,Mount Hotham,VI Australia
MMG,Mount Magnet,WA Australia
NAK,Nakhon Ratchosima,Thailand
NHV,Nuku Hiva,French Polynesia
OSA,Osaka,Japan - all airports
PUG,Port Augusta,SA Australia
PLO,Port Lincoln,SA Australia
RRG,Rodrigues Island,Mauritius
ADZ,San Andres Island,Colombia
ARN,Stockholm,Sweden - Arlanda
XTG,Thargomindah,QL Australia
TAB,Tobago,Trinidad and Tobago
TYO,Tokyo,Japan - All airports
WTS,Tsiroanomandidy,Madagascar
USL,Useless Loop,WA Australia
UKK,Ust-Kamenogorsk,Kazakhstan
VLG,Villa Gesell,BA Argentina
OKR,Yorke Island,QL Australia
AAR,Aarhus,Denmark - Tirstrup
WAM,Ambatondrazaka,Madagascar
ANK,Ankara,Turkey - Etimesqut
BCL,Barra Colorado,Costa Rica
EJA,Barran Cabermeja,Colombia
BRT,Bathurst Island,Australia
BHX,Birmingham,United Kingdom
BFN,Bloemfontein,South Africa
BMP,Brampton Island,Australia
CEQ,Cannes,France - Mandelieu
CAS,Casablanca,Morocco - Anfa
DLI,Dalat,Viet Nam - Lienkhang
DSK,Dera Ismail Khan,Pakistan
FAV,Fakarava,French Polynesia
FLR,Florence,Italy - Peretola
FDF,Fort De France,Martinique
GSE,Gothenburg,Sweden - Saeve
GBL,Goulburn Island,Australia
GHB,Governors Harbour,Bahamas
HPH,Haiphong,Viet Nam - Catbi
LBC,Hamburg,Germany - Luebeck
HTI,Hamilton Island,Australia
SGN,Ho Chi Minh City,Viet Nam
HUY,Humberside,United Kingdom
JNB,Johannesburg,South Africa
KZF,Kaintiba,Papua New Guinea
KTP,Kingston,Jamaica - Tinson
TGG,Kuala Terengganu,Malaysia
CMU,Kundiawa,Papau New Guinea
MAN,Manchester,United Kingdom
MBH,Maryborough,QL Australia
MUK,Mauke Island,Cook Islands
MKR,Meekatharra,WA Australia
MYX,Menyamya,Papua New Guinea
WME,Mount Keith,WA Australia
ATN,Namatana,Papua New Guinea
CNP,Neerlerit Inaat,Greenland
NEV,Nevis,St. Kitts and Nevis
EMA,Nottingham,United Kingdom
OLP,Olympic Dam,SA Australia
KIX,Osaka,Japan - Kansai Intl
PTP,Pointe-a-Pitre,Guadeloupe
PYH,Puerto Ayacucha,Venezuela
PJM,Puerto Jimenez,Costa Rica
RBP,Rabaraba,Papua New Guinea
RAM,Ramingining,NT Australia
RCQ,Reconquista,SF Argentina
RES,Resistencia,CW Argentina
RAO,Ribeirao Preto,SP Brazil
RCB,Richards Bay,South Africa
GIG,Rio De Janeiro,RJ Brazil
ROK,Rockhampton,QL Australia
ROM,Rome,Italy - All airports
NNB,Santa Ana,Solomon Islands
BMA,Stockholm,Sweden - Bromma
TSA,Taipei,Taiwan - Sung Shan
TDB,Tetabedi,Papua New Guinea
UBP,Ubon Ratchathani,Thailand
VCE,Venice,Italy - Marco Polo
VIV,Vivigani,Papua New Guinea
WGA,Wagga Wagga,NS Australia
AGL,Wanigela,Papua New Guinea
ZIH,Zihuatanejo/Ixtapa,Mexico
ESB,Ankara,Turkey - Esenboga
AIU,Atiu Island,Cook Islands
VMU,Baimuru,Papua New Guinea
BEB,Benbecula,United Kingdom
BLK,Blackpool,United Kingdom
CBG,Cambridge,United Kingdom
CHC,Christchurch,New Zealand
CBL,Ciudad Bolivar,Venezuela
CME,Ciudad Del Carmen,Mexico
AGT,Ciudad del Este,Paraguay
CNC,Coconut Island,Australia
DDM,Dodoima,Papua New Guinea
ELS,East London,South Africa
EDI,Edinburgh,United Kingdom
ELH,Eleuthera Island,Bahamas
EMS,Embessa,Papua New Guinea
FIE,Fair Isle,United Kingdom
HHN,Frankfurt,Germany - Hahn
GAR,Garaina,Papua New Guinea
OOL,Gold Coast,QL Australia
GOE,Gonalia,Papua New Guinea
GRW,Graciosa Island,Portugal
GTE,Groofe Eylandt,Australia
GUA,Guatemala City,Guatemala
HKN,Hoskins,Papua New Guinea
HUH,Huahine,French Polynesia
HUN,Hualien,Taiwan - Phi Bai
HUU,Huanuco,French Polynesia
HWN,Hwange Nat Park,Zimbabwe
IGU,Iguassu Falls,PR Brazil
IDN,Indagen,Papua New Guinea
IVC,Invercargill,New Zealand
INV,Inverness,United Kingdom
ITK,Itokama,Papua New Guinea
JDO,Juazeiro Do Norte,Brazil
KVG,Kavieng,Papua New Guinea
IRA,Kirakira,Solomon Islands
ING,Lago Argentina,Argentina
LEQ,Lands End,United Kingdom
LST,Launceston,TS Australia
LPL,Liverpool,United Kingdom
IRG,Lockhart River,Australia
SSG,Malabo,Equatorial Guinea
MFO,Manguna,Papua New Guinea
MNG,Maningrioa,NT Australia
MAU,Maupiti,French Polynesia
MGT,Milingimbi,NT Australia
MJK,Monkey Mia,WA Australia
MEU,Monte Dourado,PA Brazil
MOC,Montes Claros,MG Brazil
ONG,Mornington,QL Australia
NPL,New Plymouth,New Zealand
NCL,Newcastle,United Kingdom
TRF,Oslo,Norway - Sandefjord
OUA,Ouagadougou,Burkina Faso
PPG,Pago Pago,American Samoa
PPT,Papeete,French Polynesia
PBO,Paraburdoo,WA Australia
PTG,Pietersburb,South Africa
PSA,Pisa,Italy - Gal Galilei
PPP,Proserpine,QL Australia
FUE,Puerto del Rosario,Spain
RFP,Raiatea,French Polynesia
RCU,Rio Cuarto,CD Argentina
RGA,Rio Grande,TF Argentina
ULA,San Julian,SC Argentina
SAL,San Salvador,El Salvador
RSA,Santa Rosa,LP Argentina
SZD,Sheffield,United Kingdom
FYR,Skopie,Macedonia
SQH,Son-La,Viet Nam - Na-San
SYY,Stornoway,United Kingdom
VAO,Suavanao,Solomon Islands
SYU,Sue Island,QL Australia
TBG,Tabubil,Papua New Guinea
TJQ,Tanjung Pandan,Indonesia
TER,Terceira Island,Portugal
TRV,Thiruvananthapuram,India
TSV,Townsville,QL Australia
KYX,Yalumet,Papua New Guinea
XMY,Yam Island,QL Australia
UUS,Yuzhno-Sakhalinsk,Russia
ABZ,Aberdeen,United Kingdom
AFT,Afutara,Soloman Islands
ACI,Alderney,United Kingdom
ASP,Alice Springs,Australia
GUR,Alotau,Papua New Guinea
AMY,Ambatomainty,Madagascar
TNR,Antaninvarivo,Madgascar
ARP,Aragip,Papua New Guinea
AUQ,Atuona,French Polynesia
AGB,Augsburg/Munich,Germany
BAS,Balalae,Solomon Islands
